,cls 0,cls 1,cls 2,cls 3,cls 4,mean,model,type,n_DB
tr04-0551,0.471910119,0.895833313,0.738636374,0.795755982,0.5625,0.692927158,TinyUStaging,EEG+EOG,6
tr11-0101,0.735202491,0.9375,0.629870117,0.880195618,0.880596995,0.812673044,TinyUStaging,EEG+EOG,6
tr06-0315,0.421052635,0.940170944,0.442105263,0.859716833,0.55384618,0.643378371,TinyUStaging,EEG+EOG,6
tr06-0696,0.865979373,0.858237565,0.564356446,0.905529976,0.942528725,0.827326417,TinyUStaging,EEG+EOG,6
tr09-0220,0.731914878,0.86138612,0.144522145,0.510344803,0.709163368,0.591466263,TinyUStaging,EEG+EOG,6
tr08-0310,0.561403513,0.876033068,0.481481493,0.906488538,0.410958916,0.647273105,TinyUStaging,EEG+EOG,6
tr08-0214,0.811188817,0.822006464,0.641509414,0.833836854,0.764168203,0.77454195,TinyUStaging,EEG+EOG,6
tr11-0335,0.823880613,0.953020155,0.775510192,0.904109597,0.695652187,0.830434549,TinyUStaging,EEG+EOG,6
tr04-0699,0.592592597,0.817679584,0.675000012,0.868894577,0.811594188,0.753152192,TinyUStaging,EEG+EOG,6
tr11-0074,0.946835458,0.901515126,0.542713583,0.777777791,0.935294092,0.82082721,TinyUStaging,EEG+EOG,6
tr03-0863,0.812631607,0.887804866,0.740740716,0.878350496,0.915942013,0.84709394,TinyUStaging,EEG+EOG,6
tr07-0030,0.802919686,0.789808929,0.401826471,0.868980944,0.943589747,0.761425155,TinyUStaging,EEG+EOG,6
tr06-0827,0.695652187,0.852173924,0.376731306,0.649056613,0.753036439,0.665330094,TinyUStaging,EEG+EOG,6
tr03-0411,0.595469236,0.884146333,0.354285717,0.790055275,0.755043209,0.675799954,TinyUStaging,EEG+EOG,6
tr05-0206,0.772277236,0.956521749,0.420382172,0.884324312,0,0.606701094,TinyUStaging,EEG+EOG,6
tr04-0983,0.751879692,0.938159883,0.635294139,0.870967746,0.840336144,0.807327521,TinyUStaging,EEG+EOG,6
tr13-0615,0.424908429,0.943396211,0.71216619,0.843715847,0.678733051,0.720583946,TinyUStaging,EEG+EOG,6
tr09-0636,0.623188376,0.913432837,0.578034699,0.866861045,0.817910433,0.759885478,TinyUStaging,EEG+EOG,6
tr03-0287,0.741035879,0.794520557,0.606557369,0.759815216,0.402234644,0.660832733,TinyUStaging,EEG+EOG,6
tr06-0677,0.73476702,0,0.365448505,0.368421048,0.839506149,0.461628544,TinyUStaging,EEG+EOG,6
tr09-0453,0.700854719,0.914027154,0.721925139,0.88983053,0.944038928,0.834135294,TinyUStaging,EEG+EOG,6
tr04-0029,0.759358287,0.863636374,0.474358976,0.913043499,0.938181818,0.789715791,TinyUStaging,EEG+EOG,6
tr06-0333,0.660869539,0.867857158,0.367816091,0.764346778,0.295081973,0.591194308,TinyUStaging,EEG+EOG,6
tr11-0792,0.706766903,0.941176474,0.588652492,0.836940825,0.826666653,0.780040669,TinyUStaging,EEG+EOG,6
tr12-0169,0.813074589,,0.460526317,0.884955764,0.928961754,0.771879606,TinyUStaging,EEG+EOG,6
tr09-0469,0.696202517,0.923076928,0.365853667,0.883720934,0.848249018,0.743420613,TinyUStaging,EEG+EOG,6
tr03-0029,0.771929801,0,0.179104477,0.711656451,0.385542154,0.409646577,TinyUStaging,EEG+EOG,6
tr05-0701,0.862595439,0.523364484,0.543689311,0.911534131,0.613636374,0.690963948,TinyUStaging,EEG+EOG,6
tr05-0549,0.679245293,0.87969923,0.492753625,0.878953099,0.571428597,0.700415969,TinyUStaging,EEG+EOG,6
tr07-0191,0.723404229,0.9375,0.547619045,0.70157069,0.32710281,0.647439355,TinyUStaging,EEG+EOG,6
tr03-0567,0.373057008,0.69544363,0.215053767,0.754266202,0.785714269,0.564706975,TinyUStaging,EEG+EOG,6
tr03-0426,0.821683288,0.948275864,0.569732964,0.858715594,0.85446012,0.810573566,TinyUStaging,EEG+EOG,6
tr13-0093,0.868356526,,0.293577969,0.847761214,0,0.502423927,TinyUStaging,EEG+EOG,6
tr08-0351,0.479999989,0.856368542,0.548042715,0.685612798,0.25,0.564004809,TinyUStaging,EEG+EOG,6
tr13-0508,0.888475835,0.796296299,0.757201672,0.818652868,0.954337895,0.842992914,TinyUStaging,EEG+EOG,6
tr07-0105,0.672131121,0.947136581,0.732984304,0.830028355,0.739273906,0.784310853,TinyUStaging,EEG+EOG,6
tr07-0830,0.815427005,0.974358976,0.517857134,0.84397161,0.853333354,0.800989616,TinyUStaging,EEG+EOG,6
tr03-0083,0.861261249,0.964466989,0.630824387,0.800788939,0.880952358,0.827658784,TinyUStaging,EEG+EOG,6
tr11-0080,0.695035458,0.703448296,0.70588237,0.909090936,0.955777466,0.793846905,TinyUStaging,EEG+EOG,6
tr06-0536,0.787878811,0.666666687,0.369127512,0.852459013,0.342857152,0.603797835,TinyUStaging,EEG+EOG,6
tr05-0256,0.319148928,0.839622617,0.297029704,0.882995307,0.917647064,0.651288724,TinyUStaging,EEG+EOG,6
tr06-0390,0.698181808,0.893617034,0.208000004,0.49779737,0.828282833,0.62517581,TinyUStaging,EEG+EOG,6
tr05-1183,0.435986161,0.969187677,0.643410861,0.866359472,0.559006214,0.694790077,TinyUStaging,EEG+EOG,6
tr04-0275,0.770114958,0.585635364,0.503875971,0.6961326,0,0.511151779,TinyUStaging,EEG+EOG,6
tr12-0244,0.847887337,0.689655185,0.592885375,0.847244084,0.940092146,0.783552825,TinyUStaging,EEG+EOG,6
tr05-0326,0.798245609,0.926829278,0.562962949,0.892900109,0.724137902,0.78101517,TinyUStaging,EEG+EOG,6
tr05-0784,0.668896317,0.701421797,0.679174483,0.818371594,0.865979373,0.746768713,TinyUStaging,EEG+EOG,6
tr09-0175,0.770562768,0.968105078,0.380952388,0.775564432,0.727848113,0.724606556,TinyUStaging,EEG+EOG,6
tr04-0658,0.729729712,0.879177392,0.59602648,0.871224165,0.932038844,0.801639318,TinyUStaging,EEG+EOG,6
tr06-0282,0.496350378,0.758620679,0.514886141,0.742632627,0.300000012,0.562497967,TinyUStaging,EEG+EOG,6
tr05-0610,0.620938599,0.856753051,0.275862068,0.747300208,0.717948735,0.643760532,TinyUStaging,EEG+EOG,6
tr07-0100,0.622641504,0.911214948,0.441176474,0.820976496,0.90476191,0.740154266,TinyUStaging,EEG+EOG,6
tr07-0178,0.806779683,0.838235319,0.59793812,0.935704529,0.941176474,0.823966825,TinyUStaging,EEG+EOG,6
tr05-1377,0.905228734,0.962457359,0.75555557,0.862745106,0.931192636,0.883435881,TinyUStaging,EEG+EOG,6
tr06-0769,0.791946292,0.881927729,0.513966501,0.865583479,0.617021263,0.734089053,TinyUStaging,EEG+EOG,6
tr06-0579,0.732394338,0.912529528,0.369565219,0.890173435,0.893787563,0.759690017,TinyUStaging,EEG+EOG,6
tr10-0536,0.200000003,0.832904875,0.444444448,0.872210979,0.720496893,0.61401144,TinyUStaging,EEG+EOG,6
tr03-0743,0.764912307,0.96347034,0.539822996,0.854586124,0.92822969,0.810204291,TinyUStaging,EEG+EOG,6
tr07-0509,0.471153855,0.868932068,0.164705887,0.794788301,0.79411763,0.618739548,TinyUStaging,EEG+EOG,6
tr05-0028,0.930832386,0,0.593984962,0.833684206,0.666666687,0.605033648,TinyUStaging,EEG+EOG,6
tr06-0166,0.783861697,0.939130425,0.375,0.906088769,0.867924511,0.774401081,TinyUStaging,EEG+EOG,6
tr06-0797,0.746781111,0.952380955,0.706231475,0.853846133,0.700854719,0.792018878,TinyUStaging,EEG+EOG,6
16450f5a-9b65-5536-85e1-93816c8b89eb,0.918787897,0,0.456140339,0.886731386,0,0.452331924,TinyUStaging,EEG+EOG,6
c985916d-46a5-5c3e-9d50-a5a91f460bac,0.844827592,0.838926196,0.555555582,0.900914609,0.757009327,0.779446661,TinyUStaging,EEG+EOG,6
4b72b905-5521-5c57-b666-e20ff9bb195f,0.80063796,0.891089082,0.490974724,0.789115667,0.895104885,0.773384464,TinyUStaging,EEG+EOG,6
fc10ee0b-b863-511b-bce8-4dfa7af8ac3a,0.91191709,0.855263174,0.491228074,0.867759585,0.868894577,0.7990125,TinyUStaging,EEG+EOG,6
a79d1f0e-c133-5aa0-8268-cdcc05825f0f,0.814814806,0.893023252,0.24242425,0.80854851,0.603580534,0.672478271,TinyUStaging,EEG+EOG,6
79e8a04e-0fdd-53ae-bedc-d49d08e29103,0.622222245,0.729323328,0.275862068,0.781456947,0.678815484,0.617536014,TinyUStaging,EEG+EOG,6
039ce8ad-a7fa-5272-a3e3-1f4bfebdd087,0.751020432,0.92814374,0.556213021,0.84793812,0.790849686,0.774833,TinyUStaging,EEG+EOG,6
a65a9e69-cddf-5711-9a97-de8bfdeb08cc,0.86153847,0.918681324,0.5090909,0.817995906,0.585526288,0.738566577,TinyUStaging,EEG+EOG,6
a35a118e-e65e-5928-92a9-4354a6a0f4ce,0.864000022,0.920397997,0.486486495,0.841300189,0.916512072,0.805739355,TinyUStaging,EEG+EOG,6
cebd3520-4e77-5222-a614-d2888e6afc2b,0.326295584,0.798850596,0.161764711,0.419109672,0,0.341204113,TinyUStaging,EEG+EOG,6
30e8a05b-4cf1-5aa8-9ef7-28d6e2949ad5,0.809815943,0.929824591,0.493827164,0.916461945,0.840707958,0.79812752,TinyUStaging,EEG+EOG,6
5b94ec8a-c34d-5e45-84d1-bec2ea965609,0.905660391,0.966507196,0.583333313,0.872691929,0.685950398,0.802828646,TinyUStaging,EEG+EOG,6
eb95076c-c470-56a4-b788-ace310f061c6,0.899224818,0.935643554,0.578947365,0.8809219,0.916890085,0.842325544,TinyUStaging,EEG+EOG,6
c31a47f9-e400-5841-a22b-521c81042603,0.884779513,0.976000011,0.383838385,0.83561641,0.712962985,0.758639461,TinyUStaging,EEG+EOG,6
03341d0d-5927-5838-8a5f-1b8ef39d8f57,0.964360595,0.687747061,0.475095779,0.774426997,0.869281054,0.754182297,TinyUStaging,EEG+EOG,6
a0c91989-530f-5117-80c1-2488dbed683c,0.824999988,0.86297375,0.46875,0.888086617,0.738351226,0.756632316,TinyUStaging,EEG+EOG,6
130f3f52-7d0a-551e-af61-2ee75455e5c9,0.604166687,0.889570534,0.313725501,0.749206364,0.649842262,0.64130227,TinyUStaging,EEG+EOG,6
742f1592-627c-54eb-bbb5-ccd55ffae33a,0.8984375,0.839436591,0.529411793,0.83298099,0.707692325,0.76159184,TinyUStaging,EEG+EOG,6
4e3c4ac4-69e2-5347-a3b0-662c204d259d,0.957333326,0.878980875,0.560975611,0.866477251,0.727272749,0.798207963,TinyUStaging,EEG+EOG,6
100df108-eb57-5eaa-a413-f7e4436a7895,0.811188817,0.939393938,0.581280768,0.907692313,0.460177004,0.739946568,TinyUStaging,EEG+EOG,6
32556393-bb57-560a-99e8-e09885219647,0.321243525,0.759493649,0.288659781,0.792013288,0.762376249,0.584757298,TinyUStaging,EEG+EOG,6
0416d51f-5d69-5326-b74a-a2e31a96a1ef,0.754578769,0.802469134,0.355555564,0.675862074,0.049019609,0.52749703,TinyUStaging,EEG+EOG,6
18482adf-1144-54ca-9e35-27f65c43a105,0.799145281,0.966666639,0.405940592,0.812071323,0.740740716,0.74491291,TinyUStaging,EEG+EOG,6
a6254c8a-f1b2-5736-b601-18245dd5e0a5,0.833333313,0.911504447,0.512820542,0.716535449,0.608849585,0.716608667,TinyUStaging,EEG+EOG,6
2159377e-ebf3-5565-9014-1e2ae69dc1d2,0.809523821,0.924901187,0.591549277,0.874015749,0.859335065,0.81186502,TinyUStaging,EEG+EOG,6
3dd35e7b-d7e2-516d-8a85-e0d58a59569f,0.751203835,0.83229816,0.662721872,0.814814806,0.811965823,0.774600899,TinyUStaging,EEG+EOG,6
2e865ca9-e20f-5a6f-bd25-45d28cc9eab9,0.863636374,0.972375691,0.515151501,0.916666687,0.760233939,0.805612838,TinyUStaging,EEG+EOG,6
b3706da5-748b-5dd1-a552-f57e4456cdf6,0.543778777,0.941569269,0.362204731,0.854166687,0.265060246,0.593355942,TinyUStaging,EEG+EOG,6
22bea84c-5d23-5e49-bc2d-9764f883955b,0.894339621,0.829931974,0.523255825,0.883333325,0.829268277,0.792025805,TinyUStaging,EEG+EOG,6
cc3b4b63-4a6f-5f28-ac7e-62f83c271449,0.922155678,0,0.166666672,0.87433356,0.165289253,0.425689033,TinyUStaging,EEG+EOG,6
40e25dd4-6087-5747-b9c2-4838ada86b15,0.476190478,0.879518092,0.285714298,0.695833325,0.644295275,0.596310294,TinyUStaging,EEG+EOG,6
e72505f1-21be-5d66-b620-cfcfa2d754bc,0.864077687,0.949999988,0.438356161,0.934533536,0.13333334,0.664060143,TinyUStaging,EEG+EOG,6
b2d3ccdd-395c-5dd2-81d9-252bcfc0c337,0.842105269,0.964370549,0.45161289,0.894031644,0.888888896,0.808201849,TinyUStaging,EEG+EOG,6
730aba3b-e310-5be0-9eed-7c3123466834,0.795008898,0.812967598,0.172413796,0.442567557,0.712280691,0.587047708,TinyUStaging,EEG+EOG,6
e59c45e0-0c0c-565f-84a9-6cf0ec5ef6c1,0.565573752,0.75757575,0.693069279,0.82107842,0.887538016,0.744967043,TinyUStaging,EEG+EOG,6
aadc9e0c-b7c3-5a47-851d-f21971d10935,0.906666696,0.954990208,0.649122834,0.813376486,0.578778148,0.780586874,TinyUStaging,EEG+EOG,6
02fb158a-a658-51ee-89cf-1e1dc2ebfde1,0.699421942,0.932735443,0.425531924,0.826245427,0.745762706,0.725939488,TinyUStaging,EEG+EOG,6
c11c730f-0b6b-580b-af31-d8f0ebbbdfce,0.698224843,0.868686855,0.735294104,0.84765625,0.055045873,0.640981585,TinyUStaging,EEG+EOG,6
6a7503ac-ab3a-5d5b-b474-4b0fe37748dd,0.697247684,0.934579432,0.348314613,0.752508342,0.390572399,0.624644494,TinyUStaging,EEG+EOG,6
5d8e93a5-d26a-436d-bc2c-e9527dc92cbf,0.893470764,0.967741907,0.583333313,0.892670155,0.877551019,0.842953432,TinyUStaging,EEG+EOG,6
f66bc75e-778b-5037-af86-b5275cd4c79f,0.556521714,0.69135803,0.135416672,0.777952731,0.92817682,0.617885193,TinyUStaging,EEG+EOG,6
c03e27b0-4cb5-584f-aaea-8f1e1ed6513c,0.709359586,0.85587585,0.519230783,0.816631138,0.809523821,0.742124236,TinyUStaging,EEG+EOG,6
e8ec8ec4-dc48-50ce-985a-a06d87861030,0.879910231,0.857142866,0.511278212,0.80798769,0.242990658,0.659861931,TinyUStaging,EEG+EOG,6
7f5237b1-2196-5c8a-9543-a5aa70210ef4,0.806682587,0.8828125,0.485714287,0.859078586,0.893203855,0.785498363,TinyUStaging,EEG+EOG,6
c8110476-594c-533d-95bd-86147fccc987,0.761445761,0.789029539,0.517241359,0.834761322,0.884955764,0.757486749,TinyUStaging,EEG+EOG,6
90aef91a-252f-5ccc-a82e-78ea7ee9ca1f,0.860215068,0.940298498,0.571428597,0.735549152,0.047761194,0.631050502,TinyUStaging,EEG+EOG,6
e6b7cbef-4c9d-5541-82e8-04810de0fb60,0.860139847,0.990099013,0.380165279,0.857142866,0.929487169,0.803406835,TinyUStaging,EEG+EOG,6
5ddbc68c-1283-5c27-952b-d7f102291bc2,0.836734712,0.67469877,0.516853929,0.844745755,0.540000021,0.682606637,TinyUStaging,EEG+EOG,6
52fbe46b-206c-584a-9f4f-1eb308e07bac,0.888888896,0.905511796,0.481012672,0.852207303,0.768292665,0.779182667,TinyUStaging,EEG+EOG,6
83c1394e-9c69-5c11-9102-9ff8d59b1cfd,0.896551728,0.926315784,0.50746268,0.929020643,0.860841453,0.824038458,TinyUStaging,EEG+EOG,6
2d01dc34-f36c-562e-b24a-d20dc798fdfc,0.87005651,0.942084968,0.155555561,0.883435607,0.91536051,0.753298631,TinyUStaging,EEG+EOG,6
6e2aa933-c51c-5a31-8c7b-83da8d076a12,0.663999975,0.285714298,0.358490556,0.824347854,0.64957267,0.556425071,TinyUStaging,EEG+EOG,6
47f45aa2-31c4-595b-bdb6-f1348bba062b,0.905882359,0.853210986,0.255319148,0.71946311,0,0.54677512,TinyUStaging,EEG+EOG,6
ad47bc12-199c-5294-9cb8-4351bbbf7b5e,0.90185678,0.958823502,0.460000008,0.9173913,0.244897962,0.69659391,TinyUStaging,EEG+EOG,6
b3534fa3-7676-50dc-8412-07f0eff4f7a9,0.723404229,0.931677043,0.3898305,0.947082758,0.981481493,0.794695204,TinyUStaging,EEG+EOG,6
d5181c33-a43b-5dfe-8ad7-0337facb092a,0.624390244,0.920187771,0.333333343,0.906344414,0.703125,0.697476155,TinyUStaging,EEG+EOG,6
a30245e3-4a71-565f-9636-92e7d2e825fc,0.883720934,0.924901187,0.333333343,0.725028038,0.731343269,0.719665354,TinyUStaging,EEG+EOG,6
769df255-2284-50b3-8917-2155c759fbbd,0.897196233,0.943469763,0.373333335,0.804568529,0.768000007,0.757313573,TinyUStaging,EEG+EOG,6
7d778801-88e7-5086-ad1d-70f31a371876,0.673684239,0.935483873,0.216216221,0.661764681,0.703180194,0.638065842,TinyUStaging,EEG+EOG,6
14c012bd-65b0-56f5-bc74-2dffcea69837,0.817567587,0.870662451,0.568000019,0.75570035,0.103896104,0.623165302,TinyUStaging,EEG+EOG,6
5bf0f969-304c-581e-949c-50c108f62846,0.815286636,0.981029809,0.473684222,0.691003919,0.611909628,0.714582843,TinyUStaging,EEG+EOG,6
64959ac4-53b5-5868-a845-c7476e9fdf7b,0.673913062,0.796536803,0.431818187,0.698765457,0.761467874,0.672500277,TinyUStaging,EEG+EOG,6
1da3544e-dc5c-5795-adc3-f5068959211f,0.854368925,0.82897383,0.386363626,0.816874385,0,0.577316153,TinyUStaging,EEG+EOG,6
18ede714-aba3-5ad8-bb1a-18fc9b1c4192,0.666666687,0.604651153,0.315068483,0.761160731,0.763513505,0.622212112,TinyUStaging,EEG+EOG,6
3e842aa8-bcd9-521e-93a2-72124233fe2c,0.943820238,0.850574732,0.490566045,0.648148119,0.624203801,0.711462587,TinyUStaging,EEG+EOG,6
7ab8ff5f-a77f-567d-9882-f8bee0c3c9bf,0.855072439,0.879999995,0.758620679,0.705084741,0.62731874,0.765219319,TinyUStaging,EEG+EOG,6
1fa6c401-d819-50f5-8146-a0bb9e2b2516,0.945812821,0.944785297,0.352941185,0.661448121,0.755458534,0.732089192,TinyUStaging,EEG+EOG,6
a4568951-bf87-5bbc-bc4f-28e93c360be6,0.720000029,0,0.309090912,0.742268026,0.537878811,0.461847556,TinyUStaging,EEG+EOG,6
119f9726-eb4c-5a0e-a7bb-9e15256149a1,0.742857158,0.790816307,0.387096763,0.873370588,0.77922076,0.714672315,TinyUStaging,EEG+EOG,6
a25b2296-343b-53f6-8792-ada2669d466e,0.865800858,0.967153311,0.396946579,0.781758964,0.400000006,0.682331944,TinyUStaging,EEG+EOG,6
67fa8e29-6f4d-530e-9422-bbc3aca86ed0,0.774999976,0.889460146,0.553672314,0.597802222,0.51119405,0.665425742,TinyUStaging,EEG+EOG,6
b5d5785d-87ee-5078-b9b9-aac6abd4d8de,0.674603164,0.597701132,0.316831678,0.754404128,0.668604672,0.602428955,TinyUStaging,EEG+EOG,6
aa160c78-6da3-5e05-8fc9-d6c13e9f97e0,0.583657563,0.636363626,0.394557834,0.782951832,0.267281115,0.532962394,TinyUStaging,EEG+EOG,6
25a6b2b0-4d09-561b-82c6-f09bb271d3be,0.81904763,0.905213296,0.470588237,0.900459409,0.625,0.744061714,TinyUStaging,EEG+EOG,6
0d79f4b1-e74f-5e87-8e42-f9dd7112ada5,0.871345043,0.915789485,0.56934309,0.891061425,0.91061455,0.831630719,TinyUStaging,EEG+EOG,6
d3cadb78-cb8c-5a6e-885c-392e457c68b1,0.915492952,0.845605671,0.478873253,0.8201285,0.792929292,0.770605934,TinyUStaging,EEG+EOG,6
f2a69bdc-ed51-5e3f-b102-6b3f7d392be0,0.693069279,0.900243282,0.454545468,0.840043545,0.782022476,0.73398481,TinyUStaging,EEG+EOG,6
37d0da97-9ae8-5413-b889-4e843ff35488,0.915309429,0.894366205,0.43589744,0.828125,0.862068951,0.787153405,TinyUStaging,EEG+EOG,6
844f68ba-265e-53e6-bf47-6c85d1804a7b,0.841025651,0.789587855,0.357142866,0.861052632,0.8125,0.732261801,TinyUStaging,EEG+EOG,6
095d6e40-5f19-55b6-a0ec-6e0ad3793da0,0.48888889,0.756756783,0.071428575,0.671957672,0.691056907,0.536017765,TinyUStaging,EEG+EOG,6
bb474ab0-c2ce-573b-8acd-ef86b0fa26a2,0.571428597,0.814814806,0.177215189,0.800345719,0.789598107,0.630680484,TinyUStaging,EEG+EOG,6
tp3b06d002_ac74_49ac_bef7_41331210eb49,0.988364577,0.724252462,0.400000006,0.773333311,0.863636374,0.749917346,TinyUStaging,EEG+EOG,6
tp14bc7dc8_3197_4980_b7d5_088481988f80,0.982509494,0.909523785,0.533333361,0.850409865,0.898550749,0.834865451,TinyUStaging,EEG+EOG,6
tp62429721_4f46_4fe6_a40f_e4a4e304f42e,0.994156063,0.902506948,0.57407409,0.887545347,0.875331581,0.846722806,TinyUStaging,EEG+EOG,6
tp7bb3f1be_8bc2_4b28_a886_3e0fe2068c8c,0.995000005,0.92007798,0.676470578,0.912,0.967741907,0.894258094,TinyUStaging,EEG+EOG,6
tp24493c26_bf2b_497a_bb40_86d2f46163fa,0.919966757,,0.168888882,0.196226418,0,0.321270514,TinyUStaging,EEG+EOG,6
tp87e67000_b3d7_4187_817a_54380901dba3,0.992822051,0.935606062,0.515625,0.834188044,0.867724895,0.829193211,TinyUStaging,EEG+EOG,6
tp0b8226b6_1f19_4c97_b140_e798f6ac52ff,0.988216162,0.874617755,0.545454562,0.906220973,0.842406869,0.831383264,TinyUStaging,EEG+EOG,6
tp9c6bdfff_637a_4d84_af94_a470199c8372,0.997585356,0.962499976,0.732558131,0.933649302,0.891191721,0.903496897,TinyUStaging,EEG+EOG,6
tp777175db_5b28_4549_97c3_a4a2f522dfec,0.989481568,0.918149471,0.5,0.846473038,0.42396313,0.735613441,TinyUStaging,EEG+EOG,6
tp8cdb6944_497d_49c2_9261_5b5bc4e1bfba,0.980217993,0.935732663,0.425531924,0.742209613,0.790419161,0.774822271,TinyUStaging,EEG+EOG,6
tpb35116b3_a9cd_4a48_8eab_c96fdff8fedc,0.985264838,0.780373812,0.311688304,0.838627696,0.8347826,0.75014745,TinyUStaging,EEG+EOG,6
tp2fbc49dd_ff99_42b3_90e8_3016734e7a0c,0.989239335,0.745490968,0.377777785,0.831030846,0.964538991,0.781615585,TinyUStaging,EEG+EOG,6
tp12173ada_4e29_4288_aae9_9bc41d2a6a50,0.988407016,0.927884638,0.450704217,0.900674999,0.825396836,0.818613541,TinyUStaging,EEG+EOG,6
tp2511f135_adca_486f_ab5b_64a6dd3ce125,0.990126193,0.879310369,0.634730518,0.842592597,0.832653046,0.835882545,TinyUStaging,EEG+EOG,6
tpcddbebcc_b4a4_42dd_831c_9b49ff21330b,0.988764048,0.929503918,0.67005074,0.928400934,0.925064623,0.888356853,TinyUStaging,EEG+EOG,6
tpf435cf71_2574_49b2_bad0_5feceaa69d23,0.997718632,0.907489002,0.607142866,0.924489796,0.883392215,0.864046502,TinyUStaging,EEG+EOG,6
tp346bd2d4_882b_4c88_9c2a_2fdf8a4e3136,0.994310081,0.744939268,0.539682567,0.855585814,0.919449925,0.810793531,TinyUStaging,EEG+EOG,6
tpb1891917_cf87_4c77_8554_db972149b1ee,0.991317451,0.797169805,0.566371679,0.834296703,0.833333313,0.80449779,TinyUStaging,EEG+EOG,6
tpaa57b1d3_44ef_4b31_8913_d12b20a9f80f,0.836572409,0.58389914,0.566433549,0.788844645,0.912751675,0.737700284,TinyUStaging,EEG+EOG,6
tp32110946_03f2_459c_9c95_3ed3a6d7f344,0.99457109,0.897009969,0.554216862,0.929424524,0.830188692,0.841082227,TinyUStaging,EEG+EOG,6
tp797c6700_0514_4fa9_a0a6_988afd4bef20,0.991470516,0.923076928,0.600000024,0.920354009,0.920000017,0.870980299,TinyUStaging,EEG+EOG,6
tp66f2c127_70ed_4bf1_b6da_21826bfffd85,0.988208473,0.916666687,0.417910457,0.891534388,0.854304612,0.813724923,TinyUStaging,EEG+EOG,6
tpf0a7e365_5ed8_4d2c_9a57_0f9bfdc2fb10,0.936105847,0.5625,0.521609545,0.774576247,0.836363614,0.72623105,TinyUStaging,EEG+EOG,6
tp5b00c0c0_347e_4a2b_91ab_919ef4c76c2a,0.991808891,0.965909064,0.376237631,0.812939525,0.863799274,0.802138877,TinyUStaging,EEG+EOG,6
tp27f16624_cbf1_470f_a2b2_b42d8bacfbae,0.937119663,0.770949721,0.544642866,0.864214063,0.946107805,0.812606823,TinyUStaging,EEG+EOG,6
tp4f5deca6_fe79_4f41_851b_482639b3252c,0.989487946,0.905660391,0.568807364,0.921810687,0.903896093,0.857932496,TinyUStaging,EEG+EOG,6
tpa7cf473b_a14c_48b8_aeee_62fd983aa65c,0.993277311,0.807610989,0.356164396,0.635514021,0.650887549,0.688690853,TinyUStaging,EEG+EOG,6
tp357be3ba_1652_41ed_b7ee_4dcc483477f8,0.99659282,0.945454538,0.641509414,0.831265509,0.747044921,0.83237344,TinyUStaging,EEG+EOG,6
tp1848ddc4_5ab8_4814_86de_9696e74af2a4,0.981059134,0.790035605,0.451807231,0.777639747,0.855305493,0.771169442,TinyUStaging,EEG+EOG,6
tp62824586_7c03_44a1_b6de_06072db911b1,0.9752177,0.566037714,0.18965517,0.737864077,0.696629226,0.633080778,TinyUStaging,EEG+EOG,6
tpa0c13c11_9a3b_4b47_9142_cce7304575a8,0.984787345,0.800000012,0.518518507,0.819327712,0.620689631,0.748664641,TinyUStaging,EEG+EOG,6
tp8a4969d8_e7d5_4047_8d0b_5cf8a5b9d408,0.988193214,0.880952358,0.292682916,0.890607715,0.880324543,0.786552149,TinyUStaging,EEG+EOG,6
tp172e5593_ae1c_49f1_bd71_ef2ad6552d16,0.989879191,0.890804589,0.601036251,0.7854985,0.807909608,0.815025628,TinyUStaging,EEG+EOG,6
tpacaf0a27_87a1_4b02_b006_82e052fa5be1,0.980516553,0.91366905,0.375,0.908402741,0.935943067,0.822706282,TinyUStaging,EEG+EOG,6
tp79f58a94_6849_4752_82ce_d5abea4d391a,0.961553395,0.879807711,0.469565213,0.785067856,0.821345687,0.783467972,TinyUStaging,EEG+EOG,6
tp369dc40e_7502_48e9_abfe_42bf2842d448,0.991698086,0.927738905,0.574468076,0.907037377,0.87551868,0.855292225,TinyUStaging,EEG+EOG,6
tp439d1f70_b300_4eb0_9022_f3e5079757c5,0.980869591,0.920754731,0.660714269,0.888888896,0.966666639,0.883578825,TinyUStaging,EEG+EOG,6
tp4349ce21_ef40_4919_b8c6_f41515ec72ab,0.937279165,0.572368443,0.354330719,0.631858408,0.813559294,0.661879206,TinyUStaging,EEG+EOG,6
tp7d09e21c_1c3a_4f7a_8915_28105eafde5a,0.985318124,0.923076928,0.564315379,0.851097167,0.626016259,0.789964771,TinyUStaging,EEG+EOG,6
